Site,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,E1-10,NovEff,DecEff,TotalEffor,Area_2,Month,Date,Time,Group ID,Species,Taxa,Name,Sign,Age,Observed,Estimated,Position,Activity,Long_E,Lat_N,Alt(m)
115,0,0,0,0,0,0,305.6453023,0,0,0,0,0,305.6453023,Ebo forest,July,16-Jul-19,8:04:00 AM,NA,Human,Human,H. sapiens,Snare,Inactive,1,NA,NA,NA,628050,485133,96
115,0,0,0,0,0,0,305.6453023,0,0,0,0,0,305.6453023,Ebo forest,July,16-Jul-19,8:14:00 AM,NA,Human,Human,H. sapiens,Logging site,Active,NA,NA,NA,NA,628051,485123,110
115,0,0,0,0,0,0,305.6453023,0,0,0,0,0,305.6453023,Ebo forest,July,16-Jul-19,8:17:00 AM,NA,Human,Human,H. sapiens,Trail,Active,NA,NA,NA,NA,628056,485095,107
115,0,0,0,0,0,0,305.6453023,0,0,0,0,0,305.6453023,Ebo forest,July,16-Jul-19,8:20:00 AM,NA,Unidentified primate ,Primate,Unknown,Feeding,Fresh,NA,NA,NA,NA,628060,485058,106
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,8:28:00 AM,NA,Red river hog,Mammal,P. porcus,Feeding,Recent,NA,NA,NA,NA,628040,484908,96
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,8:34:00 AM,NA,Human,Human,H. sapiens,Logging road,Very old,NA,NA,NA,NA,628048,484875,101
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,8:38:00 AM,NA,Red duiker,Antelope,Cephalophus sp,Footprint,Fresh,NA,NA,NA,NA,628056,484833,101
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,8:48:00 AM,NA,Red river hog,Mammal,P. porcus,Feeding,Old,NA,NA,NA,NA,628098,484650,106
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:06:00 AM,NA,Human,Human,H. sapiens,Logging site,Fresh,NA,NA,NA,NA,628090,484314,114
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:12:00 AM,NA,Human,Human,H. sapiens,Logging road,Active,NA,NA,NA,NA,628077,484257,120
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:14:00 AM,NA,Human,Human,H. sapiens,Logging site,Very old,NA,NA,NA,NA,628062,484251,117
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:18:00 AM,NA,Human,Human,H. sapiens,Sign of passage,Old,NA,NA,NA,NA,628066,484213,118
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:22:00 AM,NA,Red duiker,Antelope,Cephalophus sp,Footprint,Fresh,NA,NA,NA,NA,628065,484173,119
116,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,Ebo forest,July,16-Jul-19,9:24:00 AM,NA,Human,Human,H. sapiens,Logging site,Active,NA,NA,NA,NA,628062,484167,119
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,10:00:00 AM,NA,Human,Human,H. sapiens,Logging site,Very old,NA,NA,NA,NA,628252,483877,104
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,17-Jul-19,8:22:00 AM,NA,Human,Human,H. sapiens,Logging site,Fresh,NA,NA,NA,NA,627476,483368,89
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,17-Jul-19,8:28:00 AM,NA,Human,Human,H. sapiens,Sign of passage,Fresh,NA,NA,NA,NA,627605,483277,96
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,17-Jul-19,8:40:00 AM,NA,Human,Human,H. sapiens,Trail,Active,NA,NA,NA,NA,627870,483125,105
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,9:41:00 AM,NA,Human,Human,H. sapiens,Trail,Active,NA,NA,NA,NA,628072,483953,118
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,9:45:00 AM,NA,Human,Human,H. sapiens,Snare,Recent,NA,NA,NA,NA,628056,483882,118
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,9:51:00 AM,NA,Human,Human,H. sapiens,Sign of passage,Old,NA,NA,NA,NA,628062,483787,115
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,9:57:00 AM,NA,Human,Human,H. sapiens,Logging site,Active,NA,NA,NA,NA,628062,483704,109
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,10:01:00 AM,NA,Human,Human,H. sapiens,Trail,Active,NA,NA,NA,NA,628064,483686,105
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,10:11:00 AM,NA,Red river hog,Mammal,P. porcus,Feeding,Fresh,NA,NA,NA,NA,628088,483553,101
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,10:21:00 AM,NA,Human,Human,H. sapiens,Logging road,Active,NA,NA,NA,NA,628084,483473,100
117,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,Ebo forest,July,16-Jul-19,10:38:00 AM,NA,Human,Human,H. sapiens,Snare,Inactive,1,NA,NA,NA,628115,483387,97
