id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
115,Ebo,0,0,0,0,0,0,305.6453023,0,0,0,0,0,305.6453023,132.0814394,134.1981654,307.2585443,1689.838308,9.773051762
116,Ebo,0,0,0,0,0,0,1296.902674,0,0,0,0,0,1296.902674,125.3930211,206.8202132,37.16823772,785.1218325,7.91289236
117,Ebo,0,0,0,0,0,0,2302.65161,0,0,0,0,0,2302.65161,122.0814394,406.4105687,170.9707339,614.2304753,9.738456413
118,Ebo,0,0,0,0,0,0,1178.3868,0,0,0,0,0,1178.3868,128.8962351,576.7637017,614.7058222,1462.238647,7.385906596
119,Ebo,0,0,0,0,0,0,1090.639164,0,0,0,0,0,1090.639164,134.9308712,1567.818392,976.9422688,2428.786661,10.96655282
120,Ebo,0,0,0,0,0,0,1218.415227,0,0,0,0,0,1218.415227,130.8466483,2062.358616,1626.579578,3414.654804,9.297104146
121,Ebo,0,0,0,0,0,0,633.6444854,0,0,0,0,0,633.6444854,111.4232955,1359.193257,2346.926367,4406.895757,6.945893565
264,Ebo,0,0,0,0,0,0,8.829704617,0,0,0,0,0,8.829704617,134.4176136,584.9296508,283.2768014,1323.428193,9.720371202
265,Ebo,0,0,0,0,0,0,1222.31692,0,0,0,0,0,1222.31692,124.2753906,787.5992417,98.00637706,2195.4554,8.747466285
266,Ebo,0,0,0,0,0,0,2472.999686,0,0,0,0,0,2472.999686,119.2339015,177.6235309,1033.455085,1606.513989,6.940769835
267,Ebo,0,0,0,0,0,0,2432.065959,0,0,0,0,0,2432.065959,113.9257813,370.6203532,564.5930242,1530.277747,6.923650715
268,Ebo,0,0,0,0,0,0,4431.022897,0,0,0,0,0,4431.022897,114.7594697,462.6288931,67.90251199,2025.490747,7.413718149
269,Ebo,0,0,0,0,0,0,3245.644571,0,0,0,0,0,3245.644571,110.8349609,1354.171181,673.3526499,2804.18893,7.655015413
270,Ebo,0,0,0,0,0,0,2379.191353,0,0,0,0,0,2379.191353,116.4232955,1970.318867,1620.066637,3691.116137,9.624118784
271,Ebo,0,0,0,0,0,0,1314.12185,0,0,0,0,0,1314.12185,110.3720703,1552.125049,2603.883071,4624.413598,7.808008818
413,Ebo,0,0,0,0,0,0,635.9694325,0,0,0,0,0,635.9694325,118.8854167,763.7306935,24.8906252,403.8296241,9.458600981
414,Ebo,0,0,0,0,0,0,4030.047573,0,0,0,0,0,4030.047573,116.4848485,20.35235642,493.1354947,1220.6551,7.161860118
415,Ebo,0,0,0,0,0,0,2781.58411,0,0,0,0,0,2781.58411,116.9185606,356.4948887,703.4507382,2194.748136,7.565140067
416,Ebo,0,0,0,0,0,0,200.7081791,0,0,0,0,0,200.7081791,107.0330579,533.84839,1393.544987,2558.389748,8.3320952
417,Ebo,0,0,0,0,0,0,29.95241442,0,0,0,0,0,29.95241442,100.0445076,101.6238546,1362.647485,2511.219005,7.830350331
418,Ebo,0,0,0,0,0,0,1932.717815,0,0,0,0,0,1932.717815,99.62075298,343.818197,375.8385988,2840.261198,7.643787874
419,Ebo,0,0,0,0,0,0,3127.261004,0,0,0,0,0,3127.261004,99.30208333,1029.389547,591.3397238,3439.178166,6.587232162
420,Ebo,0,0,0,0,0,0,2355.186455,0,0,0,0,0,2355.186455,100.5684114,1020.346201,1499.369999,4193.901435,7.732479623
421,Ebo,0,0,0,0,0,0,1656.234064,0,0,0,0,0,1656.234064,95.56155303,616.6751715,2417.564034,5034.84578,8.358671003
540,Makombe,0,0,0,0,0,0,0,0,0,0,245.2230635,0,245.2230635,138.8525391,38.41005604,6938.687717,9047.605032,18.36257731
541,Makombe,0,0,0,0,0,0,0,0,0,0,1604.070098,0,1604.070098,142.2138672,26.40595169,6373.147555,9393.842612,20.44266541
542,Makombe,0,0,0,0,0,0,0,0,0,0,2615.733531,0,2615.733531,141.0842803,38.61455564,5923.565842,9830.025496,17.91028595
543,Makombe,3897.344101,0,0,0,0,0,0,0,0,0,1265.995298,0,5163.339399,131.1923828,43.77240348,5615.182328,9599.193731,21.62613691
544,Makombe,1240.001836,0,0,0,0,0,0,0,0,0,0,0,1240.001836,140.7604167,413.40111,5462.580062,8881.788513,14.14449839
545,Makombe,3847.874416,0,0,0,0,0,0,0,0,0,0,0,3847.874416,140.4189453,746.7587978,5485.361158,8223.613202,14.23322051
561,Ebo,0,0,0,0,0,0,389.9483921,0,0,0,0,0,389.9483921,128.9501953,1254.9787,79.48407246,2290.802052,7.298640643
562,Ebo,0,0,0,0,0,0,884.7234388,0,0,0,0,0,884.7234388,123.9848485,1570.161024,478.8400956,1604.585475,7.642154754
563,Ebo,0,0,0,0,0,0,3618.062798,0,0,0,0,0,3618.062798,120.8818359,1067.505779,404.255165,1378.990593,7.767592052
564,Ebo,0,0,0,0,0,0,5003.964561,0,0,0,0,0,5003.964561,119.0274621,603.9241446,1087.240885,1796.812612,8.651235365
565,Ebo,0,0,0,0,0,0,3950.39138,0,0,0,0,0,3950.39138,112.3515625,551.6886035,1623.579262,2560.362488,7.432541085
569,Ebo,0,0,0,0,0,0,450.7647355,0,0,0,0,0,450.7647355,97.96289063,69.73740368,200.6753213,4218.105898,15.81517909
570,Ebo,0,0,0,0,0,0,1833.079342,0,0,0,0,0,1833.079342,96.81060606,20.8084942,1191.809266,4853.172174,14.43025935
571,Ebo,0,0,0,0,0,0,59.77747949,0,0,0,0,0,59.77747949,89.06933594,51.64662159,2187.486614,5595.904121,12.54170707
690,Makombe,0,0,0,0,0,0,0,0,0,0,350.5015185,0,350.5015185,174.157197,226.4306876,6180.441827,10006.72217,15.13071388
691,Makombe,0,0,0,0,0,0,0,0,0,0,2818.893046,0,2818.893046,176.0880682,965.1963588,5538.003585,10320.83382,12.57029391
692,Makombe,1341.913593,0,0,0,0,0,0,0,0,0,2447.898484,0,3789.812077,145.9008264,951.790909,5014.090768,9774.806683,13.32962135
693,Makombe,3855.178045,0,0,0,0,0,0,0,0,0,1560.156337,0,5415.334383,155.594697,788.6688916,4648.949211,8960.384623,16.05483007
694,Makombe,1802.366578,0,0,0,0,0,0,0,0,0,1458.816883,0,3261.183461,172.9265381,1094.994478,4465.026636,8187.193628,13.10368575
695,Makombe,2956.945268,0,0,0,0,0,0,0,0,0,1072.737842,0,4029.68311,154.5085227,255.8228092,4491.228449,7468.051045,23.51358113
710,Ebo,0,0,0,0,0,0,1188.449596,0,0,0,0,0,1188.449596,120.8145087,154.1734224,252.5361182,3695.861229,10.72658643
711,Ebo,0,0,0,0,0,0,3893.567712,0,0,0,0,0,3893.567712,116.5577652,415.7682861,847.5778168,2997.717587,8.080396468
712,Ebo,0,0,0,0,0,0,5949.618705,0,0,0,0,0,5949.618705,112.7814509,643.6042733,1298.999577,2512.614423,7.951780289
713,Ebo,0,0,0,0,0,0,9382.254878,0,0,0,0,0,9382.254878,107.8967803,357.9537386,1404.178395,2374.900365,12.10547502
714,Ebo,0,0,0,0,0,0,4780.339095,0,0,0,0,0,4780.339095,108.2222222,74.68082358,1729.273682,2639.521217,14.20289644
715,Ebo,0,0,0,0,906.70201,0,2137.692935,0,0,0,0,0,3044.394945,121.09375,49.01071048,2451.337996,3208.425277,16.31625766
716,Ebo,0,0,0,0,775.1678566,0,0,0,0,0,0,0,775.1678566,164.3076217,248.3221709,2815.158232,3952.330106,28.51972718
717,Ebo,0,0,0,0,1410.560092,0,0,0,0,0,0,0,1410.560092,170.0681818,421.1695033,1868.540011,4498.351109,25.20837857
718,Ebo,0,0,0,0,713.396585,0,0,0,0,0,0,0,713.396585,183.6225895,525.0700592,1028.478332,4689.992056,25.9039682
837,Makombe,0,0,0,0,0,0,0,0,0,0,2249.703227,0,2249.703227,195.2320076,466.0878461,4550.693447,7021.291182,18.75224432
838,Makombe,0,0,0,0,0,0,0,0,0,0,2173.239456,0,2173.239456,220.9765625,889.6761829,5462.750555,7980.017009,17.67767477
839,Makombe,2978.102016,0,0,0,0,0,0,0,0,0,1948.329696,0,4926.431712,156.2689394,671.1042444,6307.036753,8947.782578,20.21855207
840,Makombe,2435.21943,0,0,0,0,0,0,0,0,0,1218.912151,0,3654.13158,162.4951172,301.3703766,5500.030466,9921.943089,14.66793525
841,Makombe,3830.279641,0,0,0,0,0,0,0,0,0,3682.77349,0,7513.053131,170.7978516,1237.873811,4766.755464,10146.3871,12.271335
842,Makombe,3834.609974,0,0,0,0,0,0,0,0,0,7615.511794,0,11450.12177,167.561553,1905.469062,4146.514221,9256.933509,13.92921309
843,Makombe,10581.16383,0,0,0,0,0,0,0,0,0,4738.308191,0,15319.47202,195.4091797,1679.236181,3696.647496,8392.405192,21.37505415
844,Makombe,6083.030859,0,0,0,0,0,0,0,0,0,3250.30415,0,9333.335009,206.874053,717.5238239,3468.882354,7561.356479,21.63738055
845,Makombe,2316.578265,0,0,0,0,0,0,0,0,0,1484.786231,0,3801.364496,145.3974609,27.34685513,3500.439819,6776.116787,23.33396784
860,Ebo,0,0,0,0,0,0,580.9151393,0,0,0,0,0,580.9151393,107.4801136,143.6938489,962.6700315,4404.307768,9.597990756
861,Ebo,0,0,0,0,0,0,1433.176881,0,0,0,0,0,1433.176881,126.265625,122.6901754,1518.674862,3837.29689,14.66760119
862,Ebo,0,0,0,0,0,0,3893.546812,0,0,0,0,0,3893.546812,135.4488636,291.5269357,2229.087027,3471.565631,18.86821238
863,Ebo,0,0,0,0,0,0,1589.525259,0,0,0,0,0,1589.525259,234.2919922,541.0454078,2404.165488,3373.231157,32.03812249
865,Ebo,0,0,0,0,623.6849663,0,0,0,0,0,0,0,623.6849663,311.8271484,1042.181741,3133.265501,4004.064117,24.55658855
866,Ebo,0,0,0,0,2513.972326,0,0,0,0,0,0,0,2513.972326,328.8683712,606.8103193,3224.922341,4621.628496,29.54882192
867,Ebo,0,0,0,0,248.1274181,0,0,0,0,0,0,0,248.1274181,275.9013672,259.4628329,2442.63178,5355.965876,30.4190012
868,Ebo,0,0,0,0,1592.81016,0,0,0,0,0,0,0,1592.81016,190.1420455,4.06731194,1879.568014,5653.361513,28.46755859
869,Ebo,0,0,0,0,556.3630123,0,0,0,0,0,0,0,556.3630123,136.6357422,109.0174022,1760.426603,5976.734826,21.64771062
987,Makombe,0,0,0,0,0,0,0,0,0,0,2899.714298,0,2899.714298,282.9292929,1007.208668,4197.998673,6785.474387,27.2541077
988,Makombe,184.2857265,0,0,0,0,0,0,0,0,0,2870.566264,0,3054.85199,265.4507576,873.7179876,5172.622704,7773.339325,29.31918571
989,Makombe,298.9119302,0,0,0,0,0,0,0,0,0,3284.627214,0,3583.539144,168.4986226,451.8587128,5804.796756,8763.957203,19.08921529
990,Makombe,0,0,0,0,0,0,0,0,0,0,3060.337052,0,3060.337052,159.7869318,5.183316014,4929.787935,9756.489505,16.47043078
991,Makombe,2220.8247,0,0,0,0,0,0,0,0,0,4591.291716,0,6812.116416,183.8087121,984.2995102,4095.660094,9751.57133,19.31282849
992,Makombe,1367.473059,0,0,0,0,0,0,0,0,0,5142.039639,0,6509.512698,217.4049587,1973.273631,3353.5137,8822.402751,16.42783357
993,Makombe,4132.389118,0,0,0,0,0,0,0,0,0,3290.081108,0,7422.470226,178.7225379,1246.940246,2778.070673,7910.526986,22.05235061
994,Makombe,3935.079058,0,0,0,0,0,0,0,0,0,1644.374272,0,5579.453329,145.5215794,408.4775153,2475.848685,7022.68354,19.8892725
1012,Ebo,0,0,0,0,0,0,33.66311124,0,0,0,0,0,33.66311124,316.3296602,1291.484375,2923.862545,4448.629521,30.87938715
1013,Ebo,0,0,0,0,0,0,695.7321929,0,0,0,0,0,695.7321929,537.8693182,1539.290994,3404.160164,4372.324911,42.91283986
